hour,mean_buy_price,mean_sell_price,currency
0,9.44988746483276,9.39723663644889,BOB
1,9.446777117849328,9.395745545482963,BOB
2,9.540028142589117,9.43268125,BOB
3,9.549640512660206,9.450828125000001,BOB
4,9.548605814316973,9.42986875,BOB
5,9.563391684901532,9.408365114098157,BOB
6,9.61301875,9.400275,BOB
7,9.62625,9.383865625,BOB
8,9.6435,9.379403125,BOB
9,9.625389184120037,9.394293750000001,BOB
10,9.55383536585366,9.426346447087527,BOB
11,9.53332738095238,9.44763024709735,BOB
12,9.496904761904762,9.427132221560454,BOB
13,9.469439590238023,9.417865541151643,BOB
14,9.4847951204254,9.436917786808378,BOB
15,9.48630081300813,9.440322076297686,BOB
16,9.480832290362954,9.437239762425758,BOB
17,9.4778625,9.435434375,BOB
18,9.473847386983007,9.429727476755371,BOB
19,9.464544885830467,9.420638098217077,BOB
20,9.472859404686512,9.427454890788225,BOB
21,9.476793372319689,9.429769255768607,BOB
22,9.456950617283951,9.40755329008341,BOB
23,9.454839012191309,9.402528915286027,BOB
