hour,mean_buy_price,mean_sell_price,currency
0,0.7983255641879394,0.7472315088757396,GBP
1,0.8028098274568642,0.7458067971924639,GBP
2,0.8051976656626506,0.7450550018456995,GBP
3,0.803272142316427,0.7443451327433628,GBP
4,0.8024056103108416,0.744584808259587,GBP
5,0.8031672487388437,0.7451979358643568,GBP
6,0.8021391871165644,0.746960235640648,GBP
7,0.7949241457003381,0.7491656848306333,GBP
8,0.7893008474576272,0.7525304080061586,GBP
9,0.7805590766823162,0.75616796875,GBP
10,0.777676024279211,0.7585221674876848,GBP
11,0.7770183823529413,0.7595457888929753,GBP
12,0.7757875000000001,0.7608019874861981,GBP
13,0.7755705223880597,0.760341189674523,GBP
14,0.7753500186776242,0.7591810699588477,GBP
15,0.7744950349393159,0.7589171575846834,GBP
16,0.7746532940743468,0.7592868701728578,GBP
17,0.7753668138337013,0.7588411764705881,GBP
18,0.7761482183472328,0.7580234937476317,GBP
19,0.777146009562339,0.7575941176470588,GBP
20,0.7799708955223881,0.7571149253731343,GBP
21,0.7852493266641016,0.7557861538461538,GBP
22,0.7902539855072465,0.7536449038810301,GBP
23,0.7953708609271524,0.7511057869517139,GBP
