hour,mean_buy_price,mean_sell_price,currency
0,1.000095486111111,1.064534375,USD
1,0.9991824817518249,1.0633458333333334,USD
2,0.9985868055555555,1.0622496527777778,USD
3,0.9983260416666667,1.0616972222222223,USD
4,0.9982007641542203,1.061471875,USD
5,0.9979496527777777,1.0612083333333333,USD
6,0.9978104166666667,1.060814236111111,USD
7,0.9977663194444445,1.0608392361111112,USD
8,0.9976592566863494,1.0612402777777776,USD
9,0.9976507991660876,1.061551388888889,USD
10,0.9977168918918919,1.0620135135135136,USD
11,0.9977720394736842,1.062781907894737,USD
12,0.997752879236591,1.0640009868421052,USD
13,0.9978023333333333,1.0650906666666666,USD
14,0.9979201388888888,1.0666048611111112,USD
15,0.9980889197638069,1.0685,USD
16,0.9985097222222222,1.0700263888888888,USD
17,0.9993340277777777,1.0707756944444446,USD
18,0.9997317857142857,1.0716207142857144,USD
19,1.0003313650573116,1.0719416464050018,USD
20,1.0008640845070422,1.0713503521126762,USD
21,1.0012952898550724,1.0704442028985508,USD
22,1.0014863013698632,1.0683863013698631,USD
23,1.0011507991660875,1.0664420138888888,USD
