hour,mean_buy_price,mean_sell_price,currency
0,1.000095486111111,1.064534375,USD
1,0.9991824817518249,1.0633458333333334,USD
2,0.9985868055555555,1.0622496527777778,USD
3,0.9983204225352112,1.0616644366197183,USD
4,0.9981757999264436,1.0613242647058825,USD
5,0.9979106617647059,1.0610529411764706,USD
6,0.9977952205882353,1.0606286764705881,USD
7,0.9977599264705883,1.060670955882353,USD
8,0.9976557557925708,1.0611117647058823,USD
9,0.9976659308314937,1.0614485294117646,USD
10,0.9977450000000001,1.06194,USD
11,0.9978062499999999,1.0627552083333334,USD
12,0.9977717957624175,1.0640315972222223,USD
13,0.997805633802817,1.065168309859155,USD
14,0.9979179577464788,1.0666383802816901,USD
15,0.9980889197638069,1.0685,USD
16,0.9985097222222222,1.0700263888888888,USD
17,0.9993340277777777,1.0707756944444446,USD
18,0.9997317857142857,1.0716207142857144,USD
19,1.0003313650573116,1.0719416464050018,USD
20,1.0008640845070422,1.0713503521126762,USD
21,1.0012952898550724,1.0704442028985508,USD
22,1.0014863013698632,1.0683863013698631,USD
23,1.0011507991660875,1.0664420138888888,USD
