date,currency,avg_buy_price,avg_sell_price,mid_price,log_price,log_return,volatility
2025-12-07,BOB,9.530452830188677,9.496867924528303,9.513660377358491,2.252728700227513,,
2025-12-08,BOB,9.57878874706955,9.497632195884346,9.538210471476948,2.255305886258375,0.0025771860308618777,
2025-12-09,BOB,9.494851485148514,9.432915581031788,9.46388353309015,2.2474828202912067,-0.007823065967168308,
2025-12-10,BOB,9.419437869822486,9.356224791610648,9.387831330716567,2.2394143113506595,-0.008068508940547225,
2025-12-11,BOB,9.287299270072992,9.215126400833986,9.25121283545349,2.2247546602755293,-0.014659651075130231,
2025-12-12,BOB,9.178926803855171,9.092794270833334,9.135860537344254,2.2122073876202855,-0.012547272655243802,
2025-12-13,BOB,9.222496091714435,9.138231770833332,9.180363931273885,2.2170668477762163,0.0048594601559308614,
2025-12-14,BOB,9.261166403370193,9.15998947368421,9.210577938527202,2.2203525994957487,0.0032857517195323815,0.008061725070202657
2025-12-15,BOB,9.18795780151081,9.14025787965616,9.164107840583485,2.2152945323726727,-0.005058067123075993,0.007415456527753349
2025-12-16,BOB,9.222985152383433,9.16284783741532,9.192916494899377,2.218433241287591,0.003138708914918187,0.008028411066763398
2025-12-17,BOB,9.275097787752484,9.191846745751842,9.233472266752162,2.2228351713526466,0.004401930065055737,0.008389434055522406
