date,currency,avg_buy_price,avg_sell_price,mid_price,log_price,log_return,volatility
2025-12-07,MXN,18.488099056603772,18.126495283018865,18.30729716981132,2.9072997328154515,,
2025-12-08,MXN,18.533692708333334,18.139510416666667,18.3366015625,2.908899147722134,0.0015994149066824725,
2025-12-09,MXN,18.516729166666668,18.19592544316997,18.356327304918317,2.909974327323624,0.0010751796014898396,
2025-12-10,MXN,18.466434525410055,18.140194017784964,18.303314271597507,2.9070821511869176,-0.002892176136706226,
2025-12-11,MXN,18.395085937500003,18.051778645833334,18.22343229166667,2.9027082545331817,-0.004373896653735887,
2025-12-12,MXN,18.35608854166667,17.93613961969263,18.14611408067965,2.898456437550096,-0.004251816983085632,
2025-12-13,MXN,18.357528645833334,17.862558931377684,18.11004378860551,2.896466689816502,-0.0019897477335941716,
2025-12-14,MXN,18.348247368421053,18.00206106870229,18.175154218561673,2.900055508586427,0.0035888187699248952,0.003125952883702855
2025-12-15,MXN,18.28626465225319,17.811737089201877,18.049000870727532,2.893090329824535,-0.006965178761891622,0.003567897845330979
2025-12-16,MXN,18.299536458333332,17.941044270833334,18.120290364583333,2.8970323250219456,0.003941995197410453,0.004133953762750733
2025-12-17,MXN,18.24098947368421,17.860163717982573,18.05057659583339,2.8931776286361806,-0.0038546963857650773,0.004190067001638206
2025-12-18,MXN,18.193464285714285,18.049892857142858,18.12167857142857,2.897108932716653,0.003931304080472486,0.004560786229977173
