,date,hour,avg_buy_price,avg_sell_price,currency,spread_abs,spread_pct
0,2025-12-07,10,171.39138888888888,147.8538028169014,JPY,23.537586071987477,14.74577326989421
1,2025-12-07,11,171.54476190476188,147.49935714285715,JPY,24.045404761904734,15.07340416346357
2,2025-12-07,12,171.70401315789474,147.31525179856115,JPY,24.388761359333586,15.28983609354281
3,2025-12-07,13,171.57939597315436,147.4963829787234,JPY,24.08301299443096,15.095481752667354
4,2025-12-07,14,171.49348484848485,146.99062500000002,JPY,24.50285984848483,15.387178883205058
5,2025-12-07,15,171.83831775700935,145.86193548387098,JPY,25.97638227313837,16.352761452439307
6,2025-12-07,16,171.68397849462366,145.1114705882353,JPY,26.572507906388353,16.775814162303966
7,2025-12-07,17,172.02821428571428,144.8426086956522,JPY,27.185605590062096,17.15879381653308
8,2025-12-07,18,172.67886075949366,144.19113636363636,JPY,28.4877243958573,17.980701647046423
9,2025-12-07,19,173.1735,144.14295454545456,JPY,29.030545454545432,18.297535497256668
10,2025-12-07,20,172.95223529411766,144.13602272727272,JPY,28.81621256684494,18.175515389094624
11,2025-12-07,21,172.87941176470588,145.047027027027,JPY,27.832384737678865,17.50869468009944
12,2025-12-07,22,172.28094736842107,145.46166666666667,JPY,26.819280701754394,16.881135558853803
13,2025-12-07,23,171.9821782178218,145.06971962616822,JPY,26.912458591653575,16.976689794108246
14,2025-12-08,0,171.1641584158416,145.83327586206897,JPY,25.330882553772625,15.981758723993412
15,2025-12-08,1,170.87529411764706,146.2727731092437,JPY,24.602521008403357,15.51484845770949
16,2025-12-08,2,171.01973684210526,146.04128205128205,JPY,24.978454790823207,15.756244572734616
17,2025-12-08,3,172.6521551724138,145.65239669421487,JPY,26.99975847819894,16.964732876023707
18,2025-12-08,4,171.5828181818182,145.0884375,JPY,26.4943806818182,16.733050573076934
19,2025-12-08,5,170.94883333333334,145.80185714285713,JPY,25.14697619047621,15.878087686357519
20,2025-12-08,6,171.2944,145.3432608695652,JPY,25.951139130434797,16.391694569222473
21,2025-12-08,7,170.9355303030303,146.07402684563758,JPY,24.86150345739273,15.685018256868158
22,2025-12-08,8,170.74978723404257,146.16437908496732,JPY,24.58540814907525,15.515499628582244
23,2025-12-08,9,170.82166666666666,146.7543396226415,JPY,24.06732704402515,15.156892565806803
24,2025-12-08,10,170.64316129032258,147.25713375796178,JPY,23.3860275323608,14.712806434362577
25,2025-12-08,11,170.71390410958904,147.716,JPY,22.99790410958903,14.44456303430233
26,2025-12-08,12,170.50731249999998,145.9894890510949,JPY,24.51782344890509,15.49325195625837
27,2025-12-08,13,170.05499999999998,145.4403816793893,JPY,24.614618320610674,15.6037899443006
28,2025-12-08,14,170.24567567567567,144.89089430894307,JPY,25.354781366732595,16.091297413035953
29,2025-12-08,15,170.78976744186048,144.48786324786326,JPY,26.301904193997217,16.68491617147547
30,2025-12-08,16,171.40456896551726,144.3433043478261,JPY,27.061264617691165,17.141058993506494
31,2025-12-08,17,171.63616161616162,143.7777358490566,JPY,27.858425767105018,17.664678691069447
32,2025-12-08,18,171.5943820224719,144.03176470588235,JPY,27.562617316589552,17.465357418763855
33,2025-12-08,19,171.08977528089886,143.20813725490197,JPY,27.881638025996892,17.742171941928483
34,2025-12-08,20,170.61588235294118,143.59831683168318,JPY,27.017565521258007,17.19690936397382
35,2025-12-08,21,170.44831683168314,143.5818085106383,JPY,26.866508321044847,17.110784063635876
36,2025-12-08,22,170.39791666666667,143.99126126126126,JPY,26.406655405405417,16.7987050823098
37,2025-12-08,23,170.52310606060607,144.64982456140353,JPY,25.873281499202534,16.418466806867148
38,2025-12-09,0,169.49705035971223,145.00563492063492,JPY,24.491415439077315,15.57469400761759
39,2025-12-09,1,169.20793103448275,145.24530769230768,JPY,23.96262334217508,15.24081827822722
40,2025-12-09,2,169.49899328859058,145.87824817518248,JPY,23.620745113408105,14.97935932458296
41,2025-12-09,3,169.37452702702703,144.93272058823527,JPY,24.441806438791758,15.552811221655647
42,2025-12-09,4,170.24142857142857,145.35680555555555,JPY,24.884623015873018,15.76981131387474
43,2025-12-09,5,169.70088,144.99442857142859,JPY,24.706451428571427,15.70182379948866
44,2025-12-09,6,169.98675,145.43388489208635,JPY,24.552865107913647,15.568331549591752
45,2025-12-09,7,169.99908333333332,145.72256944444445,JPY,24.27651388888887,15.378428229612757
46,2025-12-09,8,170.32477272727272,146.41213333333334,JPY,23.912639393939372,15.099370446817337
47,2025-12-09,9,170.4031081081081,147.0294968553459,JPY,23.373611252762203,14.726660643731417
48,2025-12-09,10,170.1863087248322,146.31219354838709,JPY,23.874115176445116,15.086400096665
49,2025-12-09,11,168.959125,145.92677852348993,JPY,23.03234647651007,14.629010837756923
50,2025-12-09,12,169.476875,145.7160810810811,JPY,23.76079391891892,15.076982819886767
51,2025-12-09,13,169.8393670886076,145.92470198675497,JPY,23.91466510185262,15.147173123199758
52,2025-12-09,14,170.07036231884058,145.9131756756757,JPY,24.15718664316489,15.290155174845928
53,2025-12-09,15,171.36642857142857,144.953828125,JPY,26.41260044642857,16.699910857606977
54,2025-12-09,16,172.77061728395063,143.8044144144144,JPY,28.966202869536232,18.299739378774156
55,2025-12-09,17,173.60657534246576,143.878,JPY,29.728575342465774,18.727571448406913
56,2025-12-09,18,174.33107692307692,143.58638095238095,JPY,30.74469597069597,19.34130712805335
57,2025-12-09,19,175.17543859649123,143.2367,JPY,31.93873859649122,20.061256921467862
58,2025-12-09,20,175.29285714285714,143.42372549019606,JPY,31.869131652661082,19.998414509453276
59,2025-12-09,21,174.5768253968254,143.95054545454545,JPY,30.62627994227995,19.22992040553437
60,2025-12-09,22,173.65725,145.088125,JPY,28.569125000000014,17.92598559273214
61,2025-12-09,23,174.1186813186813,146.09547297297297,JPY,28.023208345708326,17.502791784890626
62,2025-12-10,0,174.22244897959183,146.5053164556962,JPY,27.71713252389563,17.283899625140503
63,2025-12-10,1,174.32721649484537,148.15264150943398,JPY,26.174574985411397,16.233308428871894
64,2025-12-10,2,173.696875,147.38974193548387,JPY,26.307133064516137,16.38631551548101
65,2025-12-10,3,172.8765178571429,149.1161875,JPY,23.76033035714289,14.7583035030491
66,2025-12-10,4,172.9426785714286,149.9840625,JPY,22.958616071428594,14.219086344633409
67,2025-12-10,5,171.8962295081967,150.89600000000002,JPY,21.000229508196696,13.011607832191284
68,2025-12-10,6,171.5075396825397,151.5334375,JPY,19.974102182539696,12.36629628646337
69,2025-12-10,7,171.489921875,152.18656249999998,JPY,19.303359375000014,11.927563667328908
70,2025-12-10,8,171.72992366412214,150.7075625,JPY,21.022361164122145,13.039650826096361
71,2025-12-10,9,172.216796875,149.1663125,JPY,23.050484374999996,14.344552468750907
72,2025-12-10,10,171.86232558139537,150.2825,JPY,21.57982558139537,13.397592553255436
73,2025-12-10,11,172.04710743801652,148.77354430379748,JPY,23.273563134219046,14.508768689210724
74,2025-12-10,12,172.0416393442623,153.06118750000002,JPY,18.98045184426229,11.676583700303972
75,2025-12-10,13,170.80845588235294,149.29767295597486,JPY,21.510782926378084,13.439781990080096
76,2025-12-10,14,171.9363565891473,146.68355704697984,JPY,25.252799542167452,15.851362994848373
